plate,well,src,id
NCIDIV_4868,B05,NSC,19136
NCIDIV_4868,C05,NSC,19141
NCIDIV_4868,D05,NSC,19824
NCIDIV_4868,E05,NSC,19962
NCIDIV_4868,F05,NSC,21333
NCIDIV_4868,G05,NSC,21603
NCIDIV_4868,H05,NSC,21683
NCIDIV_4868,A06,NSC,21709
NCIDIV_4868,B06,NSC,21710
NCIDIV_4868,C06,NSC,22801
NCIDIV_4868,D06,NSC,22806
NCIDIV_4868,E06,NSC,22881
NCIDIV_4868,F06,NSC,25678
NCIDIV_4868,G06,NSC,25740
NCIDIV_4868,H06,NSC,26692
NCIDIV_4868,A07,NSC,28377
NCIDIV_4868,B07,NSC,29073
NCIDIV_4868,C07,NSC,30813
NCIDIV_4868,D07,NSC,30930
NCIDIV_4868,E07,NSC,31069
NCIDIV_4868,F07,NSC,31698
NCIDIV_4868,G07,NSC,31703
NCIDIV_4868,H07,NSC,33010
NCIDIV_4868,A08,NSC,34875
NCIDIV_4868,B08,NSC,34879
NCIDIV_4868,C08,NSC,34910
NCIDIV_4868,D08,NSC,36586
NCIDIV_4868,E08,NSC,36753
NCIDIV_4868,F08,NSC,36815
NCIDIV_4868,G08,NSC,37612
NCIDIV_4868,H08,NSC,37955
NCIDIV_4868,A09,NSC,38352
